adversarial_fraction,seed,algorithm,accuracy
0.4,1014,time_decayed,0.96
0.4,1015,majority_vote,0.52
0.4,1015,reputation_weighted,0.96
0.4,1015,time_decayed,0.94
0.4,1016,majority_vote,0.56
0.4,1016,reputation_weighted,0.94
0.4,1016,time_decayed,0.94
0.4,1017,majority_vote,0.5
0.4,1017,reputation_weighted,0.96
0.4,1017,time_decayed,0.9
0.4,1018,majority_vote,0.54
0.4,1018,reputation_weighted,1.0
0.4,1018,time_decayed,0.94
0.4,1019,majority_vote,0.44
0.4,1019,reputation_weighted,1.0
0.4,1019,time_decayed,0.9
0.4,1020,majority_vote,0.68
0.4,1020,reputation_weighted,1.0
0.4,1020,time_decayed,0.98
0.4,1021,majority_vote,0.58
0.4,1021,reputation_weighted,0.98
0.4,1021,time_decayed,0.94
0.4,1022,majority_vote,0.68
0.4,1022,reputation_weighted,0.96
0.4,1022,time_decayed,0.96
0.4,1023,majority_vote,0.58
0.4,1023,reputation_weighted,0.98
0.4,1023,time_decayed,0.9
0.4,1024,majority_vote,0.58
0.4,1024,reputation_weighted,0.98
0.4,1024,time_decayed,0.9
0.4,1025,majority_vote,0.42
0.4,1025,reputation_weighted,0.98
0.4,1025,time_decayed,0.92
0.4,1026,majority_vote,0.56
0.4,1026,reputation_weighted,0.94
0.4,1026,time_decayed,0.92
0.4,1027,majority_vote,0.68
0.4,1027,reputation_weighted,0.96
0.4,1027,time_decayed,0.94
0.4,1028,majority_vote,0.5
0.4,1028,reputation_weighted,0.98
0.4,1028,time_decayed,0.9
0.4,1029,majority_vote,0.54
0.4,1029,reputation_weighted,0.96
0.4,1029,time_decayed,0.92
0.5,1000,majority_vote,0.42
0.5,1000,reputation_weighted,0.98
0.5,1000,time_decayed,0.94
0.5,1001,majority_vote,0.4
0.5,1001,reputation_weighted,0.94
0.5,1001,time_decayed,0.84
0.5,1002,majority_vote,0.26
0.5,1002,reputation_weighted,0.92
0.5,1002,time_decayed,0.88
0.5,1003,majority_vote,0.28
0.5,1003,reputation_weighted,0.96
0.5,1003,time_decayed,0.9
0.5,1004,majority_vote,0.36
0.5,1004,reputation_weighted,0.94
0.5,1004,time_decayed,0.86
0.5,1005,majority_vote,0.34
0.5,1005,reputation_weighted,0.88
0.5,1005,time_decayed,0.76
0.5,1006,majority_vote,0.38
0.5,1006,reputation_weighted,0.94
0.5,1006,time_decayed,0.9
0.5,1007,majority_vote,0.34
0.5,1007,reputation_weighted,0.9
0.5,1007,time_decayed,0.86
0.5,1008,majority_vote,0.26
0.5,1008,reputation_weighted,0.92
0.5,1008,time_decayed,0.78
0.5,1009,majority_vote,0.36
0.5,1009,reputation_weighted,0.92
0.5,1009,time_decayed,0.86
0.5,1010,majority_vote,0.28
0.5,1010,reputation_weighted,0.98
0.5,1010,time_decayed,0.94
0.5,1011,majority_vote,0.46
0.5,1011,reputation_weighted,0.94
0.5,1011,time_decayed,0.88
0.5,1012,majority_vote,0.42
0.5,1012,reputation_weighted,0.96
0.5,1012,time_decayed,0.9
0.5,1013,majority_vote,0.4
0.5,1013,reputation_weighted,0.96
0.5,1013,time_decayed,0.88
0.5,1014,majority_vote,0.46
0.5,1014,reputation_weighted,0.98
0.5,1014,time_decayed,0.96
0.5,1015,majority_vote,0.32
0.5,1015,reputation_weighted,0.96
0.5,1015,time_decayed,0.88
0.5,1016,majority_vote,0.42
0.5,1016,reputation_weighted,1.0
0.5,1016,time_decayed,0.98
0.5,1017,majority_vote,0.34
0.5,1017,reputation_weighted,0.96
0.5,1017,time_decayed,0.86
0.5,1018,majority_vote,0.46
0.5,1018,reputation_weighted,0.94
0.5,1018,time_decayed,0.9
0.5,1019,majority_vote,0.3
0.5,1019,reputation_weighted,0.96
0.5,1019,time_decayed,0.92
0.5,1020,majority_vote,0.38
0.5,1020,reputation_weighted,0.96
0.5,1020,time_decayed,0.92
0.5,1021,majority_vote,0.38
0.5,1021,reputation_weighted,0.98
0.5,1021,time_decayed,0.98
0.5,1022,majority_vote,0.36
0.5,1022,reputation_weighted,0.94
0.5,1022,time_decayed,0.92
0.5,1023,majority_vote,0.34
0.5,1023,reputation_weighted,0.94
0.5,1023,time_decayed,0.96
0.5,1024,majority_vote,0.3
0.5,1024,reputation_weighted,0.92
0.5,1024,time_decayed,0.78
0.5,1025,majority_vote,0.36
0.5,1025,reputation_weighted,0.96
0.5,1025,time_decayed,0.92
0.5,1026,majority_vote,0.34
0.5,1026,reputation_weighted,0.92
0.5,1026,time_decayed,0.92
0.5,1027,majority_vote,0.3
0.5,1027,reputation_weighted,0.96
0.5,1027,time_decayed,0.92
0.5,1028,majority_vote,0.3
0.5,1028,reputation_weighted,0.96
0.5,1028,time_decayed,0.86
0.5,1029,majority_vote,0.44
0.5,1029,reputation_weighted,0.98
0.5,1029,time_decayed,0.98
0.6,1000,majority_vote,0.16
0.6,1000,reputation_weighted,0.94
0.6,1000,time_decayed,0.88
0.6,1001,majority_vote,0.2
0.6,1001,reputation_weighted,0.98
0.6,1001,time_decayed,0.88
0.6,1002,majority_vote,0.06
0.6,1002,reputation_weighted,0.88
0.6,1002,time_decayed,0.82
0.6,1003,majority_vote,0.16
0.6,1003,reputation_weighted,0.92
0.6,1003,time_decayed,0.88
0.6,1004,majority_vote,0.14
0.6,1004,reputation_weighted,0.94
0.6,1004,time_decayed,0.88
0.6,1005,majority_vote,0.12
0.6,1005,reputation_weighted,0.84
0.6,1005,time_decayed,0.74
0.6,1006,majority_vote,0.08
0.6,1006,reputation_weighted,0.9
0.6,1006,time_decayed,0.88
0.6,1007,majority_vote,0.2
0.6,1007,reputation_weighted,0.9
0.6,1007,time_decayed,0.86
0.6,1008,majority_vote,0.28
0.6,1008,reputation_weighted,0.96
0.6,1008,time_decayed,0.94
0.6,1009,majority_vote,0.08
0.6,1009,reputation_weighted,0.82
0.6,1009,time_decayed,0.82
0.6,1010,majority_vote,0.1
0.6,1010,reputation_weighted,0.94
0.6,1010,time_decayed,0.88
0.6,1011,majority_vote,0.12
0.6,1011,reputation_weighted,0.88
0.6,1011,time_decayed,0.78
0.6,1012,majority_vote,0.2
0.6,1012,reputation_weighted,1.0
0.6,1012,time_decayed,0.94
0.6,1013,majority_vote,0.18
0.6,1013,reputation_weighted,0.88
0.6,1013,time_decayed,0.82
0.6,1014,majority_vote,0.16
0.6,1014,reputation_weighted,0.96
0.6,1014,time_decayed,0.92
0.6,1015,majority_vote,0.18
0.6,1015,reputation_weighted,0.9
0.6,1015,time_decayed,0.88
0.6,1016,majority_vote,0.24
0.6,1016,reputation_weighted,0.92
0.6,1016,time_decayed,0.86
0.6,1017,majority_vote,0.14
0.6,1017,reputation_weighted,0.8
0.6,1017,time_decayed,0.68
0.6,1018,majority_vote,0.1
0.6,1018,reputation_weighted,0.96
0.6,1018,time_decayed,0.88
0.6,1019,majority_vote,0.18
0.6,1019,reputation_weighted,0.94
0.6,1019,time_decayed,0.9
0.6,1020,majority_vote,0.24
0.6,1020,reputation_weighted,0.94
0.6,1020,time_decayed,0.9
0.6,1021,majority_vote,0.2
0.6,1021,reputation_weighted,0.92
0.6,1021,time_decayed,0.96
0.6,1022,majority_vote,0.12
0.6,1022,reputation_weighted,0.94
0.6,1022,time_decayed,0.82
0.6,1023,majority_vote,0.1
0.6,1023,reputation_weighted,0.88
0.6,1023,time_decayed,0.84
0.6,1024,majority_vote,0.12
0.6,1024,reputation_weighted,0.88
0.6,1024,time_decayed,0.72
0.6,1025,majority_vote,0.3
0.6,1025,reputation_weighted,0.88
0.6,1025,time_decayed,0.84
0.6,1026,majority_vote,0.14
0.6,1026,reputation_weighted,0.92
0.6,1026,time_decayed,0.82
0.6,1027,majority_vote,0.16
0.6,1027,reputation_weighted,0.88
0.6,1027,time_decayed,0.78
0.6,1028,majority_vote,0.18
0.6,1028,reputation_weighted,0.88
0.6,1028,time_decayed,0.84
0.6,1029,majority_vote,0.2
0.6,1029,reputation_weighted,0.92
0.6,1029,time_decayed,0.82
0.7,1000,majority_vote,0.02
0.7,1000,reputation_weighted,0.92
0.7,1000,time_decayed,0.84
0.7,1001,majority_vote,0.04
