flip_probability,seed,algorithm,accuracy
0.3,2012,majority_vote,0.94
0.3,2012,reputation_weighted,0.94
0.3,2012,time_decayed,0.94
0.3,2013,majority_vote,0.84
0.3,2013,reputation_weighted,0.84
0.3,2013,time_decayed,0.86
0.3,2014,majority_vote,0.88
0.3,2014,reputation_weighted,0.92
0.3,2014,time_decayed,0.94
0.3,2015,majority_vote,0.84
0.3,2015,reputation_weighted,0.84
0.3,2015,time_decayed,0.94
0.3,2016,majority_vote,0.8
0.3,2016,reputation_weighted,0.84
0.3,2016,time_decayed,0.92
0.3,2017,majority_vote,0.84
0.3,2017,reputation_weighted,0.86
0.3,2017,time_decayed,0.94
0.3,2018,majority_vote,0.78
0.3,2018,reputation_weighted,0.84
0.3,2018,time_decayed,0.86
0.3,2019,majority_vote,0.84
0.3,2019,reputation_weighted,0.86
0.3,2019,time_decayed,0.88
0.3,2020,majority_vote,0.86
0.3,2020,reputation_weighted,0.86
0.3,2020,time_decayed,0.86
0.3,2021,majority_vote,0.92
0.3,2021,reputation_weighted,0.94
0.3,2021,time_decayed,0.98
0.3,2022,majority_vote,0.82
0.3,2022,reputation_weighted,0.86
0.3,2022,time_decayed,0.9
0.3,2023,majority_vote,0.88
0.3,2023,reputation_weighted,0.88
0.3,2023,time_decayed,0.92
0.3,2024,majority_vote,0.84
0.3,2024,reputation_weighted,0.86
0.3,2024,time_decayed,0.92
0.3,2025,majority_vote,0.88
0.3,2025,reputation_weighted,0.88
0.3,2025,time_decayed,0.98
0.3,2026,majority_vote,0.82
0.3,2026,reputation_weighted,0.84
0.3,2026,time_decayed,0.92
0.3,2027,majority_vote,0.82
0.3,2027,reputation_weighted,0.82
0.3,2027,time_decayed,0.86
0.3,2028,majority_vote,0.92
0.3,2028,reputation_weighted,0.92
0.3,2028,time_decayed,0.94
0.3,2029,majority_vote,0.94
0.3,2029,reputation_weighted,0.98
0.3,2029,time_decayed,0.98
0.4,2000,majority_vote,0.8
0.4,2000,reputation_weighted,0.84
0.4,2000,time_decayed,0.88
0.4,2001,majority_vote,0.86
0.4,2001,reputation_weighted,0.86
0.4,2001,time_decayed,0.9
0.4,2002,majority_vote,0.8
0.4,2002,reputation_weighted,0.86
0.4,2002,time_decayed,0.88
0.4,2003,majority_vote,0.84
0.4,2003,reputation_weighted,0.84
0.4,2003,time_decayed,0.92
0.4,2004,majority_vote,0.8
0.4,2004,reputation_weighted,0.82
0.4,2004,time_decayed,0.88
0.4,2005,majority_vote,0.8
0.4,2005,reputation_weighted,0.78
0.4,2005,time_decayed,0.8
0.4,2006,majority_vote,0.8
0.4,2006,reputation_weighted,0.8
0.4,2006,time_decayed,0.88
0.4,2007,majority_vote,0.82
0.4,2007,reputation_weighted,0.82
0.4,2007,time_decayed,0.92
0.4,2008,majority_vote,0.82
0.4,2008,reputation_weighted,0.86
0.4,2008,time_decayed,0.94
0.4,2009,majority_vote,0.74
0.4,2009,reputation_weighted,0.8
0.4,2009,time_decayed,0.88
0.4,2010,majority_vote,0.76
0.4,2010,reputation_weighted,0.8
0.4,2010,time_decayed,0.9
0.4,2011,majority_vote,0.84
0.4,2011,reputation_weighted,0.88
0.4,2011,time_decayed,0.92
0.4,2012,majority_vote,0.92
0.4,2012,reputation_weighted,0.9
0.4,2012,time_decayed,0.98
0.4,2013,majority_vote,0.82
0.4,2013,reputation_weighted,0.86
0.4,2013,time_decayed,0.9
0.4,2014,majority_vote,0.82
0.4,2014,reputation_weighted,0.84
0.4,2014,time_decayed,0.9
0.4,2015,majority_vote,0.76
0.4,2015,reputation_weighted,0.78
0.4,2015,time_decayed,0.92
0.4,2016,majority_vote,0.76
0.4,2016,reputation_weighted,0.84
0.4,2016,time_decayed,0.94
0.4,2017,majority_vote,0.74
0.4,2017,reputation_weighted,0.78
0.4,2017,time_decayed,0.88
0.4,2018,majority_vote,0.72
0.4,2018,reputation_weighted,0.76
0.4,2018,time_decayed,0.82
0.4,2019,majority_vote,0.82
0.4,2019,reputation_weighted,0.88
0.4,2019,time_decayed,0.92
0.4,2020,majority_vote,0.84
0.4,2020,reputation_weighted,0.84
0.4,2020,time_decayed,0.86
0.4,2021,majority_vote,0.84
0.4,2021,reputation_weighted,0.9
0.4,2021,time_decayed,0.98
0.4,2022,majority_vote,0.8
0.4,2022,reputation_weighted,0.84
0.4,2022,time_decayed,0.9
0.4,2023,majority_vote,0.78
0.4,2023,reputation_weighted,0.78
0.4,2023,time_decayed,0.9
0.4,2024,majority_vote,0.82
0.4,2024,reputation_weighted,0.84
0.4,2024,time_decayed,0.86
0.4,2025,majority_vote,0.88
0.4,2025,reputation_weighted,0.88
0.4,2025,time_decayed,0.96
0.4,2026,majority_vote,0.82
0.4,2026,reputation_weighted,0.8
0.4,2026,time_decayed,0.9
0.4,2027,majority_vote,0.78
0.4,2027,reputation_weighted,0.82
0.4,2027,time_decayed,0.86
0.4,2028,majority_vote,0.9
0.4,2028,reputation_weighted,0.92
0.4,2028,time_decayed,0.96
0.4,2029,majority_vote,0.82
0.4,2029,reputation_weighted,0.84
0.4,2029,time_decayed,0.88
0.5,2000,majority_vote,0.74
0.5,2000,reputation_weighted,0.76
0.5,2000,time_decayed,0.88
0.5,2001,majority_vote,0.86
0.5,2001,reputation_weighted,0.86
0.5,2001,time_decayed,0.9
0.5,2002,majority_vote,0.66
0.5,2002,reputation_weighted,0.76
0.5,2002,time_decayed,0.9
0.5,2003,majority_vote,0.74
0.5,2003,reputation_weighted,0.78
0.5,2003,time_decayed,0.88
0.5,2004,majority_vote,0.76
0.5,2004,reputation_weighted,0.76
0.5,2004,time_decayed,0.86
0.5,2005,majority_vote,0.76
0.5,2005,reputation_weighted,0.8
0.5,2005,time_decayed,0.88
0.5,2006,majority_vote,0.72
0.5,2006,reputation_weighted,0.76
0.5,2006,time_decayed,0.86
0.5,2007,majority_vote,0.8
0.5,2007,reputation_weighted,0.84
0.5,2007,time_decayed,0.94
0.5,2008,majority_vote,0.8
0.5,2008,reputation_weighted,0.82
0.5,2008,time_decayed,0.88
0.5,2009,majority_vote,0.64
0.5,2009,reputation_weighted,0.68
0.5,2009,time_decayed,0.84
0.5,2010,majority_vote,0.66
0.5,2010,reputation_weighted,0.7
0.5,2010,time_decayed,0.8
0.5,2011,majority_vote,0.7
0.5,2011,reputation_weighted,0.74
0.5,2011,time_decayed,0.86
0.5,2012,majority_vote,0.84
0.5,2012,reputation_weighted,0.84
0.5,2012,time_decayed,0.88
0.5,2013,majority_vote,0.78
0.5,2013,reputation_weighted,0.82
0.5,2013,time_decayed,0.88
0.5,2014,majority_vote,0.7
0.5,2014,reputation_weighted,0.84
0.5,2014,time_decayed,0.98
0.5,2015,majority_vote,0.68
0.5,2015,reputation_weighted,0.76
0.5,2015,time_decayed,0.88
0.5,2016,majority_vote,0.72
0.5,2016,reputation_weighted,0.74
0.5,2016,time_decayed,0.86
0.5,2017,majority_vote,0.76
0.5,2017,reputation_weighted,0.8
0.5,2017,time_decayed,0.94
0.5,2018,majority_vote,0.76
0.5,2018,reputation_weighted,0.82
0.5,2018,time_decayed,0.84
0.5,2019,majority_vote,0.74
0.5,2019,reputation_weighted,0.78
0.5,2019,time_decayed,0.82
0.5,2020,majority_vote,0.72
0.5,2020,reputation_weighted,0.76
0.5,2020,time_decayed,0.84
0.5,2021,majority_vote,0.68
0.5,2021,reputation_weighted,0.76
0.5,2021,time_decayed,0.92
0.5,2022,majority_vote,0.74
0.5,2022,reputation_weighted,0.76
0.5,2022,time_decayed,0.84
0.5,2023,majority_vote,0.72
0.5,2023,reputation_weighted,0.78
0.5,2023,time_decayed,0.88
0.5,2024,majority_vote,0.74
0.5,2024,reputation_weighted,0.82
0.5,2024,time_decayed,0.86
0.5,2025,majority_vote,0.82
0.5,2025,reputation_weighted,0.84
0.5,2025,time_decayed,0.94
0.5,2026,majority_vote,0.66
0.5,2026,reputation_weighted,0.7
0.5,2026,time_decayed,0.82
0.5,2027,majority_vote,0.78
0.5,2027,reputation_weighted,0.8
0.5,2027,time_decayed,0.84
0.5,2028,majority_vote,0.8
0.5,2028,reputation_weighted,0.84
0.5,2028,time_decayed,0.94
0.5,2029,majority_vote,0.7
0.5,2029,reputation_weighted,0.72
0.5,2029,time_decayed,0.8
0.6,2000,majority_vote,0.72
0.6,2000,reputation_weighted,0.74
0.6,2000,time_decayed,0.82
0.6,2001,majority_vote,0.68
0.6,2001,reputation_weighted,0.8
0.6,2001,time_decayed,0.88
0.6,2002,majority_vote,0.68
0.6,2002,reputation_weighted,0.76
0.6,2002,time_decayed,0.88
0.6,2003,majority_vote,0.6
0.6,2003,reputation_weighted,0.64
0.6,2003,time_decayed,0.84
0.6,2004,majority_vote,0.74
0.6,2004,reputation_weighted,0.78
0.6,2004,time_decayed,0.86
0.6,2005,majority_vote,0.66
0.6,2005,reputation_weighted,0.72
0.6,2005,time_decayed,0.76
0.6,2006,majority_vote,0.68
0.6,2006,reputation_weighted,0.74
0.6,2006,time_decayed,0.76
0.6,2007,majority_vote,0.74
0.6,2007,reputation_weighted,0.76
0.6,2007,time_decayed,0.88
0.6,2008,majority_vote,0.74
0.6,2008,reputation_weighted,0.8
0.6,2008,time_decayed,0.86
0.6,2009,majority_vote,0.62
0.6,2009,reputation_weighted,0.72
0.6,2009,time_decayed,0.82
0.6,2010,majority_vote,0.66
0.6,2010,reputation_weighted,0.64
0.6,2010,time_decayed,0.88
0.6,2011,majority_vote,0.62
0.6,2011,reputation_weighted,0.74
0.6,2011,time_decayed,0.86
0.6,2012,majority_vote,0.78
0.6,2012,reputation_weighted,0.76
0.6,2012,time_decayed,0.86
0.6,2013,majority_vote,0.74
0.6,2013,reputation_weighted,0.76
0.6,2013,time_decayed,0.9
0.6,2014,majority_vote,0.7
0.6,2014,reputation_weighted,0.76
0.6,2014,time_decayed,0.84
0.6,2015,majority_vote,0.66
0.6,2015,reputation_weighted,0.7
0.6,2015,time_decayed,0.86
0.6,2016,majority_vote,0.62
0.6,2016,reputation_weighted,0.68
0.6,2016,time_decayed,0.86
0.6,2017,majority_vote,0.74
0.6,2017,reputation_weighted,0.78
0.6,2017,time_decayed,0.92
0.6,2018,majority_vote,0.72
0.6,2018,reputation_weighted,0.76
0.6,2018,time_decayed,0.86
0.6,2019,majority_vote,0.64
0.6,2019,reputation_weighted,0.72
0.6,2019,time_decayed,0.84
0.6,2020,majority_vote,0.8
0.6,2020,reputation_weighted,0.86
0.6,2020,time_decayed,0.88
0.6,2021,majority_vote,0.72
0.6,2021,reputation_weighted,0.78
0.6,2021,time_decayed,0.94
0.6,2022,majority_vote,0.62
0.6,2022,reputation_weighted,0.72
0.6,2022,time_decayed,0.82
0.6,2023,majority_vote,0.66
0.6,2023,reputation_weighted,0.7
0.6,2023,time_decayed,0.86
0.6,2024,majority_vote,0.72
0.6,2024,reputation_weighted,0.7
0.6,2024,time_decayed,0.88
0.6,2025,majority_vote,0.66
0.6,2025,reputation_weighted,0.74
0.6,2025,time_decayed,0.88
0.6,2026,majority_vote,0.7
0.6,2026,reputation_weighted,0.7
0.6,2026,time_decayed,0.84
