sweep,parameter,comparison,n_seeds,mean_diff_pts,p_raw,p_holm,significant_holm,rank_biserial,effect_magnitude
staleness,0.4,time_decayed vs reputation_weighted,30,6.533333333333334,1.6126331218675013e-06,0.0001225601172619301,yes,1.0,large
staleness,0.5,reputation_weighted vs majority_vote,30,4.199999999999999,5.010872327182884e-06,0.00018540227610576673,yes,1.0,large
staleness,0.5,time_decayed vs majority_vote,30,13.533333333333333,1.6879998873377657e-06,0.0001225601172619301,yes,1.0,large
staleness,0.5,time_decayed vs reputation_weighted,30,9.333333333333332,1.6416009966164376e-06,0.0001225601172619301,yes,1.0,large
staleness,0.6,reputation_weighted vs majority_vote,30,4.933333333333334,8.377560658368598e-06,0.00025970438040942654,yes,0.9448275862068966,large
staleness,0.6,time_decayed vs majority_vote,30,17.0,1.6447303239552733e-06,0.0001225601172619301,yes,1.0,large
staleness,0.6,time_decayed vs reputation_weighted,30,12.066666666666666,1.6667754999579246e-06,0.0001225601172619301,yes,1.0,large
staleness,0.7,reputation_weighted vs majority_vote,30,5.799999999999999,2.9436372495719446e-06,0.00012657640173159362,yes,0.9908045977011494,large
staleness,0.7,time_decayed vs majority_vote,30,18.999999999999996,1.6699448692230351e-06,0.0001225601172619301,yes,1.0,large
staleness,0.7,time_decayed vs reputation_weighted,30,13.200000000000001,2.4579091343686894e-06,0.0001225601172619301,yes,1.0,large
staleness,0.8,reputation_weighted vs majority_vote,30,5.266666666666666,3.604554297163561e-06,0.00015139128048086956,yes,1.0,large
staleness,0.8,time_decayed vs majority_vote,30,21.333333333333332,1.6848019127233959e-06,0.0001225601172619301,yes,1.0,large
staleness,0.8,time_decayed vs reputation_weighted,30,16.066666666666666,1.6667754999579246e-06,0.0001225601172619301,yes,1.0,large
