adversarial_fraction,flip_probability,seed,algorithm,accuracy
0.4,0.4,5002,reputation_weighted,0.82
0.4,0.4,5002,time_decayed,0.8
0.4,0.4,5003,majority_vote,0.58
0.4,0.4,5003,reputation_weighted,0.82
0.4,0.4,5003,time_decayed,0.88
0.4,0.4,5004,majority_vote,0.54
0.4,0.4,5004,reputation_weighted,0.78
0.4,0.4,5004,time_decayed,0.82
0.4,0.4,5005,majority_vote,0.6
0.4,0.4,5005,reputation_weighted,0.8
0.4,0.4,5005,time_decayed,0.82
0.4,0.4,5006,majority_vote,0.5
0.4,0.4,5006,reputation_weighted,0.72
0.4,0.4,5006,time_decayed,0.78
0.4,0.4,5007,majority_vote,0.58
0.4,0.4,5007,reputation_weighted,0.76
0.4,0.4,5007,time_decayed,0.82
0.4,0.4,5008,majority_vote,0.52
0.4,0.4,5008,reputation_weighted,0.8
0.4,0.4,5008,time_decayed,0.86
0.4,0.4,5009,majority_vote,0.44
0.4,0.4,5009,reputation_weighted,0.66
0.4,0.4,5009,time_decayed,0.78
0.4,0.4,5010,majority_vote,0.48
0.4,0.4,5010,reputation_weighted,0.78
0.4,0.4,5010,time_decayed,0.72
0.4,0.4,5011,majority_vote,0.56
0.4,0.4,5011,reputation_weighted,0.88
0.4,0.4,5011,time_decayed,0.86
0.4,0.4,5012,majority_vote,0.5
0.4,0.4,5012,reputation_weighted,0.72
0.4,0.4,5012,time_decayed,0.8
0.4,0.4,5013,majority_vote,0.54
0.4,0.4,5013,reputation_weighted,0.82
0.4,0.4,5013,time_decayed,0.9
0.4,0.4,5014,majority_vote,0.48
0.4,0.4,5014,reputation_weighted,0.66
0.4,0.4,5014,time_decayed,0.72
0.4,0.4,5015,majority_vote,0.52
0.4,0.4,5015,reputation_weighted,0.8
0.4,0.4,5015,time_decayed,0.78
0.4,0.4,5016,majority_vote,0.56
0.4,0.4,5016,reputation_weighted,0.88
0.4,0.4,5016,time_decayed,0.82
0.4,0.4,5017,majority_vote,0.42
0.4,0.4,5017,reputation_weighted,0.84
0.4,0.4,5017,time_decayed,0.82
0.4,0.4,5018,majority_vote,0.54
0.4,0.4,5018,reputation_weighted,0.74
0.4,0.4,5018,time_decayed,0.74
0.4,0.4,5019,majority_vote,0.52
0.4,0.4,5019,reputation_weighted,0.82
0.4,0.4,5019,time_decayed,0.92
0.4,0.4,5020,majority_vote,0.34
0.4,0.4,5020,reputation_weighted,0.78
0.4,0.4,5020,time_decayed,0.88
0.4,0.4,5021,majority_vote,0.42
0.4,0.4,5021,reputation_weighted,0.72
0.4,0.4,5021,time_decayed,0.72
0.4,0.4,5022,majority_vote,0.46
0.4,0.4,5022,reputation_weighted,0.74
0.4,0.4,5022,time_decayed,0.82
0.4,0.4,5023,majority_vote,0.6
0.4,0.4,5023,reputation_weighted,0.9
0.4,0.4,5023,time_decayed,0.82
0.4,0.4,5024,majority_vote,0.42
0.4,0.4,5024,reputation_weighted,0.82
0.4,0.4,5024,time_decayed,0.88
0.4,0.4,5025,majority_vote,0.56
0.4,0.4,5025,reputation_weighted,0.76
0.4,0.4,5025,time_decayed,0.76
0.4,0.4,5026,majority_vote,0.46
0.4,0.4,5026,reputation_weighted,0.84
0.4,0.4,5026,time_decayed,0.78
0.4,0.4,5027,majority_vote,0.56
