report_probability,seed,algorithm,accuracy,reports_per_atm,zero_report_fraction
0.05,4026,time_decayed,0.74,1.62,0.22
0.05,4027,majority_vote,0.68,1.6,0.12
0.05,4027,reputation_weighted,0.72,1.6,0.12
0.05,4027,time_decayed,0.66,1.6,0.12
0.05,4028,majority_vote,0.62,1.72,0.22
0.05,4028,reputation_weighted,0.64,1.72,0.22
0.05,4028,time_decayed,0.58,1.72,0.22
0.05,4029,majority_vote,0.7,1.74,0.28
0.05,4029,reputation_weighted,0.68,1.74,0.28
0.05,4029,time_decayed,0.62,1.74,0.28
0.1,4000,majority_vote,0.72,2.94,0.02
0.1,4000,reputation_weighted,0.8,2.94,0.02
0.1,4000,time_decayed,0.76,2.94,0.02
0.1,4001,majority_vote,0.5,2.92,0.04
0.1,4001,reputation_weighted,0.76,2.92,0.04
0.1,4001,time_decayed,0.68,2.92,0.04
0.1,4002,majority_vote,0.72,3.04,0.06
0.1,4002,reputation_weighted,0.82,3.04,0.06
0.1,4002,time_decayed,0.7,3.04,0.06
0.1,4003,majority_vote,0.74,2.86,0.02
0.1,4003,reputation_weighted,0.84,2.86,0.02
0.1,4003,time_decayed,0.78,2.86,0.02
0.1,4004,majority_vote,0.68,2.78,0.06
0.1,4004,reputation_weighted,0.74,2.78,0.06
0.1,4004,time_decayed,0.66,2.78,0.06
0.1,4005,majority_vote,0.74,3.22,0.0
0.1,4005,reputation_weighted,0.8,3.22,0.0
0.1,4005,time_decayed,0.76,3.22,0.0
0.1,4006,majority_vote,0.56,2.8,0.08
0.1,4006,reputation_weighted,0.74,2.8,0.08
0.1,4006,time_decayed,0.68,2.8,0.08
0.1,4007,majority_vote,0.58,3.04,0.0
0.1,4007,reputation_weighted,0.72,3.04,0.0
0.1,4007,time_decayed,0.7,3.04,0.0
0.1,4008,majority_vote,0.72,3.14,0.02
0.1,4008,reputation_weighted,0.82,3.14,0.02
0.1,4008,time_decayed,0.82,3.14,0.02
0.1,4009,majority_vote,0.78,3.34,0.02
0.1,4009,reputation_weighted,0.84,3.34,0.02
0.1,4009,time_decayed,0.74,3.34,0.02
0.1,4010,majority_vote,0.64,3.08,0.06
0.1,4010,reputation_weighted,0.8,3.08,0.06
0.1,4010,time_decayed,0.76,3.08,0.06
0.1,4011,majority_vote,0.7,2.9,0.08
0.1,4011,reputation_weighted,0.86,2.9,0.08
0.1,4011,time_decayed,0.68,2.9,0.08
0.1,4012,majority_vote,0.7,3.12,0.04
0.1,4012,reputation_weighted,0.8,3.12,0.04
0.1,4012,time_decayed,0.72,3.12,0.04
0.1,4013,majority_vote,0.66,2.54,0.06
0.1,4013,reputation_weighted,0.72,2.54,0.06
0.1,4013,time_decayed,0.7,2.54,0.06
0.1,4014,majority_vote,0.72,2.9,0.08
0.1,4014,reputation_weighted,0.8,2.9,0.08
0.1,4014,time_decayed,0.74,2.9,0.08
0.1,4015,majority_vote,0.72,2.96,0.04
0.1,4015,reputation_weighted,0.86,2.96,0.04
0.1,4015,time_decayed,0.76,2.96,0.04
0.1,4016,majority_vote,0.56,3.32,0.02
0.1,4016,reputation_weighted,0.72,3.32,0.02
0.1,4016,time_decayed,0.6,3.32,0.02
0.1,4017,majority_vote,0.54,2.94,0.04
0.1,4017,reputation_weighted,0.74,2.94,0.04
0.1,4017,time_decayed,0.66,2.94,0.04
0.1,4018,majority_vote,0.66,2.82,0.1
0.1,4018,reputation_weighted,0.72,2.82,0.1
0.1,4018,time_decayed,0.66,2.82,0.1
0.1,4019,majority_vote,0.7,3.0,0.06
0.1,4019,reputation_weighted,0.88,3.0,0.06
0.1,4019,time_decayed,0.76,3.0,0.06
0.1,4020,majority_vote,0.68,2.96,0.02
0.1,4020,reputation_weighted,0.82,2.96,0.02
0.1,4020,time_decayed,0.82,2.96,0.02
0.1,4021,majority_vote,0.7,2.78,0.04
0.1,4021,reputation_weighted,0.8,2.78,0.04
0.1,4021,time_decayed,0.68,2.78,0.04
0.1,4022,majority_vote,0.6,2.66,0.02
0.1,4022,reputation_weighted,0.7,2.66,0.02
0.1,4022,time_decayed,0.62,2.66,0.02
0.1,4023,majority_vote,0.68,2.86,0.02
0.1,4023,reputation_weighted,0.78,2.86,0.02
0.1,4023,time_decayed,0.66,2.86,0.02
0.1,4024,majority_vote,0.5,2.82,0.06
